Name,DT Name,DT Notation
10_97,10a_12,[4; 8; 12; 18; 2; 16; 20; 6; 10; 14]
10_98,10a_96,[6; 10; 14; 18; 2; 16; 20; 4; 8; 12]
10_99,10a_103,[6; 10; 18; 14; 2; 16; 20; 8; 4; 12]
10_100,10a_104,[6; 10; 18; 14; 16; 4; 20; 8; 2; 12]
10_101,10a_45,[4; 10; 14; 18; 2; 16; 6; 20; 8; 12]
10_102,10a_97,[6; 10; 14; 18; 16; 4; 20; 2; 8; 12]
10_103,10a_105,[6; 10; 18; 16; 14; 4; 20; 8; 2; 12]
10_104,10a_118,[6; 16; 12; 14; 18; 4; 20; 2; 8; 10]
10_105,10a_72,[4; 12; 16; 20; 18; 2; 8; 6; 10; 14]
10_106,10a_95,[6; 10; 14; 16; 18; 4; 20; 2; 8; 12]
10_107,10a_66,[4; 12; 16; 14; 18; 2; 8; 20; 10; 6]
10_108,10a_119,[6; 16; 12; 14; 18; 4; 20; 2; 10; 8]
10_109,10a_93,[6; 10; 14; 16; 2; 18; 4; 20; 8; 12]
10_110,10a_100,[6; 10; 16; 20; 14; 2; 18; 4; 8; 12]
10_111,10a_98,[6; 10; 16; 14; 2; 18; 8; 20; 4; 12]
10_112,10a_76,[6; 8; 10; 14; 16; 18; 20; 2; 4; 12]
10_113,10a_36,[4; 10; 14; 12; 2; 16; 18; 20; 8; 6]
10_114,10a_77,[6; 8; 10; 14; 16; 20; 18; 2; 4; 12]
10_115,10a_94,[6; 10; 14; 16; 4; 18; 2; 20; 12; 8]
10_116,10a_120,[6; 16; 18; 14; 2; 4; 20; 8; 10; 12]
10_117,10a_99,[6; 10; 16; 14; 18; 4; 20; 2; 12; 8]
10_118,10a_88,[6; 8; 18; 14; 16; 4; 20; 2; 10; 12]
10_119,10a_85,[6; 8; 14; 18; 16; 4; 20; 10; 2; 12]
10_120,10a_102,[6; 10; 18; 12; 4; 16; 20; 8; 2; 14]
10_121,10a_90,[6; 10; 12; 20; 18; 16; 8; 2; 4; 14]
10_122,10a_89,[6; 10; 12; 14; 18; 16; 20; 2; 4; 8]
10_123,10a_121,[8; 10; 12; 14; 16; 18; 20; 2; 4; 6]
