Name,DT Name,PD Notation
10_7,10a_65,[[1;12;2;13];[3;15;4;14];[5;19;6;18];[7;17;8;16];[9;1;10;20];[11;2;12;3];[13;11;14;10];[15;9;16;8];[17;7;18;6];[19;5;20;4]]
10_8,10a_114,[[1;12;2;13];[3;10;4;11];[5;15;6;14];[7;17;8;16];[9;19;10;18];[11;2;12;3];[13;20;14;1];[15;7;16;6];[17;9;18;8];[19;5;20;4]]
10_9,10a_110,[[1;13;2;12];[3;16;4;17];[5;14;6;15];[7;3;8;2];[9;19;10;18];[11;1;12;20];[13;4;14;5];[15;6;16;7];[17;9;18;8];[19;11;20;10]]
10_10,10a_64,[[1;11;2;10];[3;18;4;19];[5;16;6;17];[7;14;8;15];[9;13;10;12];[11;3;12;2];[13;20;14;1];[15;6;16;7];[17;4;18;5];[19;8;20;9]]
10_11,10a_116,[[2;15;3;16];[4;13;5;14];[6;2;7;1];[8;18;9;17];[10;20;11;19];[12;5;13;6];[14;3;15;4];[16;12;17;11];[18;10;19;9];[20;8;1;7]]
10_12,10a_43,[[2;11;3;12];[4;18;5;17];[6;13;7;14];[8;19;9;20];[10;1;11;2];[12;7;13;8];[14;5;15;6];[16;4;17;3];[18;16;19;15];[20;9;1;10]]
10_13,10a_54,[[2;17;3;18];[4;8;5;7];[6;13;7;14];[8;2;9;1];[10;20;11;19];[12;16;13;15];[14;5;15;6];[16;3;17;4];[18;12;19;11];[20;10;1;9]]
10_14,10a_33,[[1;14;2;15];[3;17;4;16];[5;11;6;10];[7;19;8;18];[9;1;10;20];[11;5;12;4];[13;2;14;3];[15;13;16;12];[17;7;18;6];[19;9;20;8]]
10_15,10a_68,[[2;6;3;5];[4;16;5;15];[6;2;7;1];[8;17;9;18];[10;19;11;20];[12;7;13;8];[14;4;15;3];[16;14;17;13];[18;9;19;10];[20;11;1;12]]
10_16,10a_115,[[1;10;2;11];[3;15;4;14];[5;17;6;16];[7;19;8;18];[9;2;10;3];[11;20;12;1];[13;9;14;8];[15;7;16;6];[17;5;18;4];[19;12;20;13]]
10_17,10a_107,[[6;2;7;1];[12;4;13;3];[20;15;1;16];[16;7;17;8];[18;9;19;10];[8;17;9;18];[10;19;11;20];[14;6;15;5];[2;12;3;11];[4;14;5;13]]
10_18,10a_63,[[2;14;3;13];[4;10;5;9];[6;17;7;18];[8;15;9;16];[10;20;11;19];[12;2;13;1];[14;12;15;11];[16;7;17;8];[18;5;19;6];[20;4;1;3]]
