v3093,"[[[(8, 28, 9, 27), (10, 22, 11, 21), (25, 13, 26, 12), (5, 22, 6, 23), (2, 11, 3, 12), (30, 8, 31, 7), (28, 15, 29, 16), (16, 10, 17, 9), (13, 6, 14, 7), (23, 4, 24, 5), (17, 21, 18, 20), (1, 18, 2, 19), (3, 24, 4, 25), (14, 29, 15, 30), (26, 31, 27, 0), (19, 0, 20, 1)], [(0, 3), 'cc+-']]]"
v3169,"[[[(26, 1, 27, 2), (4, 22, 5, 21), (30, 18, 31, 17), (11, 20, 12, 21), (31, 11, 32, 10), (28, 20, 29, 19), (2, 27, 3, 28), (22, 6, 23, 5), (7, 14, 8, 15), (32, 23, 33, 24), (18, 30, 19, 29), (6, 0, 7, 33), (16, 26, 17, 25), (9, 25, 10, 24), (15, 8, 16, 9), (3, 13, 4, 12), (13, 1, 14, 0)], [(1, 0), 'cc+-']]]"
v3423,"[[[(1, 20, 2, 21), (22, 10, 23, 9), (19, 24, 20, 25), (10, 22, 11, 21), (18, 3, 19, 4), (12, 29, 13, 0), (2, 24, 3, 23), (25, 16, 26, 17), (4, 17, 5, 18), (26, 6, 27, 5), (14, 27, 15, 28), (15, 6, 16, 7), (8, 11, 9, 12), (28, 13, 29, 14), (7, 1, 8, 0)], [(1, 0), 'cc+-']]]"
v3541,"[[[(18, 37, 19, 38), (41, 27, 0, 26), (17, 29, 18, 28), (4, 19, 5, 20), (30, 6, 31, 5), (27, 39, 28, 38), (33, 6, 34, 7), (8, 39, 9, 40), (40, 9, 41, 10), (36, 30, 37, 29), (31, 21, 32, 20), (21, 33, 22, 32), (22, 14, 23, 13), (15, 34, 16, 35), (35, 16, 36, 17), (14, 7, 15, 8), (11, 2, 12, 3), (1, 25, 2, 24), (10, 24, 11, 23), (3, 12, 4, 13), (25, 1, 26, 0)], [(10, 0), 'cc+-']]]"
t00017,"[[[(27, 13, 0, 12), (13, 27, 14, 26), (25, 15, 26, 14), (15, 25, 16, 24), (23, 17, 24, 16), (17, 23, 18, 22), (21, 19, 22, 18), (19, 6, 20, 7), (7, 5, 8, 4), (5, 20, 6, 21), (3, 9, 4, 8), (9, 3, 10, 2), (1, 11, 2, 10), (11, 1, 12, 0)], [(0, 7), 'cc+-']]]"
t00027,"[[[(29, 9, 0, 8), (9, 29, 10, 28), (27, 11, 28, 10), (11, 27, 12, 26), (25, 13, 26, 12), (13, 25, 14, 24), (23, 15, 24, 14), (15, 23, 16, 22), (21, 17, 22, 16), (17, 21, 18, 20), (3, 19, 4, 18), (19, 5, 20, 4), (5, 3, 6, 2), (1, 7, 2, 6), (7, 1, 8, 0)], [10, 'cc']]]"
t00565,"[[[(32, 40, 33, 39), (35, 18, 36, 19), (41, 31, 42, 30), (38, 20, 39, 19), (15, 41, 16, 40), (42, 14, 43, 13), (5, 49, 6, 48), (47, 7, 48, 6), (21, 55, 22, 54), (9, 47, 10, 46), (45, 11, 46, 10), (51, 23, 52, 22), (20, 1, 21, 2), (4, 25, 5, 26), (26, 7, 27, 8), (8, 27, 9, 28), (29, 12, 30, 13), (11, 45, 12, 44), (28, 44, 29, 43), (14, 31, 15, 32), (33, 16, 34, 17), (17, 34, 18, 35), (49, 25, 50, 24), (23, 51, 24, 50), (52, 4, 53, 3), (2, 54, 3, 53), (55, 37, 0, 36), (37, 1, 38, 0)], [(26, 1), 'cc+-']]]"
t00577,"[[[(4, 42, 5, 41), (43, 3, 44, 2), (46, 27, 47, 28), (28, 47, 29, 48), (57, 27, 0, 26), (1, 45, 2, 44), (49, 30, 50, 31), (51, 14, 52, 15), (32, 15, 33, 16), (17, 34, 18, 35), (33, 13, 34, 12), (16, 12, 17, 11), (36, 19, 37, 20), (21, 40, 22, 41), (10, 36, 11, 35), (37, 9, 38, 8), (42, 23, 43, 24), (13, 52, 14, 53), (53, 51, 54, 50), (48, 56, 49, 55), (54, 32, 55, 31), (29, 57, 30, 56), (7, 39, 8, 38), (3, 23, 4, 22), (20, 6, 21, 5), (9, 19, 10, 18), (24, 45, 25, 46), (39, 7, 40, 6), (25, 1, 26, 0)], [(0, 7), 'cc+-']]]"
t01039,"[[[(9, 21, 10, 20), (12, 32, 13, 31), (29, 16, 30, 17), (17, 30, 18, 31), (32, 12, 33, 11), (21, 9, 22, 8), (5, 23, 6, 22), (10, 36, 11, 35), (33, 18, 34, 19), (19, 34, 20, 35), (38, 23, 39, 24), (27, 3, 28, 2), (36, 8, 37, 7), (24, 39, 25, 40), (40, 25, 41, 26), (6, 38, 7, 37), (1, 29, 2, 28), (26, 14, 27, 13), (3, 14, 4, 15), (41, 5, 0, 4), (15, 0, 16, 1)], [(0, 20), 'cc+-']]]"
t01142,"[[[(13, 33, 14, 32), (12, 0, 13, 47), (2, 37, 3, 38), (34, 12, 35, 11), (1, 9, 2, 8), (7, 5, 8, 4), (10, 36, 11, 35), (38, 3, 39, 4), (5, 23, 6, 22), (23, 7, 24, 6), (36, 10, 37, 9), (21, 41, 22, 40), (19, 29, 20, 28), (24, 39, 25, 40), (41, 21, 42, 20), (29, 17, 30, 16), (42, 25, 43, 26), (18, 46, 19, 45), (15, 31, 16, 30), (26, 43, 27, 44), (44, 27, 45, 28), (31, 15, 32, 14), (46, 18, 47, 17), (33, 0, 34, 1)], [(8, 2), 'cc+-']]]"
